0.000000000000000000e+00,6.771315280159751637e+01,5.272921435502323817e+01,1.000000000000000048e-04
1.000000000000000000e+00,2.391084744380070504e+01,4.216339701631643777e+01,1.000000000000000048e-04
2.000000000000000000e+00,1.593789222738245037e+01,3.955687136545668636e+01,1.000000000000000048e-04
3.000000000000000000e+00,1.268383152144295778e+01,4.655031468746435763e+01,1.000000000000000048e-04
4.000000000000000000e+00,1.121818754961202380e+01,4.040785502691338849e+01,1.000000000000000048e-04
5.000000000000000000e+00,9.909639735798259963e+00,4.631296099363452612e+01,1.000000000000000048e-04
6.000000000000000000e+00,8.572667855482835719e+00,4.491469276038399272e+01,1.000000000000000048e-04
7.000000000000000000e+00,7.534774459325349838e+00,4.536525701258304366e+01,1.000000000000000048e-04
8.000000000000000000e+00,6.876841049927931770e+00,4.813821143825558835e+01,1.000000000000000048e-04
9.000000000000000000e+00,6.378076225846678327e+00,4.416433639247922116e+01,1.000000000000000048e-04
