0.000000000000000000e+00,6.615926927304735727e+01,3.148448497056961060e+01,1.000000000000000048e-04
1.000000000000000000e+00,2.281893422743853250e+01,2.934156730771064758e+01,1.000000000000000048e-04
2.000000000000000000e+00,1.287342072468177889e+01,2.522925084829330444e+01,1.000000000000000048e-04
3.000000000000000000e+00,1.005745529100006763e+01,3.156257298588752747e+01,1.000000000000000048e-04
4.000000000000000000e+00,8.505286270964379725e+00,3.796287921071052551e+01,1.000000000000000048e-04
5.000000000000000000e+00,7.245965528488159002e+00,3.404302901029586792e+01,1.000000000000000048e-04
6.000000000000000000e+00,6.211450549667956622e+00,3.888818648457527161e+01,1.000000000000000048e-04
7.000000000000000000e+00,5.660623660742067464e+00,3.685739028453826904e+01,1.000000000000000048e-04
8.000000000000000000e+00,4.914947637857175700e+00,3.299911439418792725e+01,1.000000000000000048e-04
9.000000000000000000e+00,4.455247991692786513e+00,3.529271453619003296e+01,1.000000000000000048e-04
